Law  Category,      Legal Domain,              Act No,              Year,                                                     Act Name,                                                                                                                                       Description
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"This Act was enacted by the Parliament of Sri Lanka to provide a legal framework for the prevention and protection against domestic violence. It establishes mechanisms through which an aggrieved person (victim) can seek legal protection from abusive situations, especially within family relationships. The Act empowers the Magistrate’s Court to issue Protection Orders and Interim Orders to prevent ongoing or potential domestic violence and outlines the rights of victims."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Defines the eligibility criteria for applying for a Protection Order. Any individual who is facing domestic violence or is at risk of it may submit an application to the Magistrate’s Court. The law recognizes victims as ""aggrieved persons"" and ensures their right to seek immediate judicial intervention."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Allows third parties to apply for a Protection Order on behalf of an aggrieved person in special cases. If the victim is a child, the law permits their parent, guardian, caretaker, or an authorized representative from the National Child Protection Authority to file the application. Additionally, a police officer may also apply on behalf of a victim."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Mandates that once an application for a Protection Order is received, the court must immediately review the case. If the Magistrate determines that the victim is in immediate danger, the court can issue an Interim Protection Order (IPO) without waiting for a full hearing. The IPO remains valid until the court completes a thorough investigation into the allegations."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"Explains the legal procedure for notifying the accused party (respondent). Once an Interim Protection Order is issued, the court must serve a notice to the respondent informing them of the order and summoning them for a hearing. If the respondent cannot be reached through normal means, alternative methods such as public notification (posting the notice at their residence) may be used to ensure compliance."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"An Interim Order, once issued, has legal power to prohibit the respondent from engaging in any further acts of domestic violence. This includes physical abuse, emotional abuse, coercion, intimidation, and economic control. The court has the authority to impose additional restrictions, such as preventing the respondent from entering the victim’s residence, workplace, or school."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"The court can direct social workers, family counselors, or law enforcement officers to monitor compliance with the Interim Order. This is particularly important in cases where the victim is highly vulnerable. In addition, the court may require both the victim and the respondent to attend counseling or rehabilitation programs to help prevent further domestic violence."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"This section establishes that an Interim Order remains in effect until the court officially issues a final Protection Order or revokes the Interim Order. It ensures that the victim remains protected during the legal process and prevents the respondent from engaging in further abuse. If the respondent violates the Interim Order, they may face legal consequences such as fines or imprisonment."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If the respondent appears in court on the date specified in the notice under Section 4(3), the court will conduct an inquiry into the application. During this process, the court will review any evidence previously submitted and may accept additional affidavits or oral evidence if deemed necessary. This evidence will form part of the official record of proceedings. The courts goal is to assess whether a Protection Order should be issued to safeguard the aggrieved person."
Civil Law,Family Law,Act No. 34,2005,Prevention of Domestic Violence,"If the respondent does not have legal representation, the court may take specific measures to protect the aggrieved person. These measures may include prohibiting the respondent from directly cross-examining the victim and requiring the respondent to submit questions through the court, which will then relay them accurately to the aggrieved person or witnesses. These steps ensure that the process remains fair while preventing further trauma or intimidation"
